gene,importance,mean_non_msi_h,mean_msi_h,higher_in
ZNF606,0.0018720787007202814,5.1431607280314,3.8295411688067547,Non-MSI-H
PCP4,0.0018632088140219311,3.5650736917728807,1.773002249197755,Non-MSI-H
CTSE,0.0018593686055860155,5.314924891846207,7.359185258154409,MSI-H
DPYD,0.001850541944966499,5.215995594841235,5.942100798378155,MSI-H
LINC00501,0.0018415576137280605,3.1178972024138045,2.158460319815096,Non-MSI-H
AADACP1,0.0018301803141241775,3.9203726285502647,2.9150131450758945,Non-MSI-H
GPM6A,0.0018213766988276789,2.079972715244491,1.7648299119029691,Non-MSI-H
ZNF536,0.0018195074565189647,2.263666957629359,1.2472687774721198,Non-MSI-H
CD244,0.0018149234944643466,3.158671804449434,3.94434527491232,MSI-H
NR3C2,0.0018054062716730262,6.241637806212735,6.5106885152753895,MSI-H
B3GAT1-DT,0.0018050508409115857,5.547087582144053,3.5649515765420468,Non-MSI-H
LINC00940,0.0017917326148066755,1.9299330070570204,0.9074070633099606,Non-MSI-H
SEC14L4,0.0017903774518039746,2.153348622430528,0.9573862113201946,Non-MSI-H
MIR196A1,0.0017566456527995406,3.1855017866716797,2.176896698119312,Non-MSI-H
DTNA,0.0017463048370343647,4.521408925123798,3.5921563683853104,Non-MSI-H
GXYLT2,0.0017418376854618771,4.836738137081903,4.7963434105779985,Non-MSI-H
LINC02487,0.0017394546545865522,4.566637548190367,3.2222220350496307,Non-MSI-H
GFI1,0.0017288003262296825,4.377552759193813,5.735066373164088,MSI-H
RBP3,0.001716621306827889,0.8506258760576706,2.0078816868879477,MSI-H
UNC5B-AS1,0.0017162843637272723,1.859309680470301,2.915609396883657,MSI-H
C1QB,0.0017112171739712253,7.53288268069341,8.149547849952082,MSI-H
ALOX5,0.001684586621553981,6.32745771117572,6.830300545567271,MSI-H
IBSP,0.0016584620167552021,2.591353041665197,3.2853575042093808,MSI-H
PLCL2,0.0016453698962046817,4.966042485518465,5.771664721253506,MSI-H
ADGRL3,0.0016424961744385598,3.9970457412555156,2.9398168504711903,Non-MSI-H
ANKDD1B,0.0016418348036994592,4.54359360189063,3.3330973716095587,Non-MSI-H
PPP1R14D,0.0016238374866085494,7.166157096249039,5.4987327695907755,Non-MSI-H
CALB1,0.00161487596988113,2.6521256889466827,3.3838339376947864,MSI-H
SV2C,0.0016147896121846844,2.752574397888724,1.6400495480986383,Non-MSI-H
SLC66A1L,0.0016074286171213527,2.0645164423602016,1.9258694508592356,Non-MSI-H
HOXC10,0.0016007991248540182,1.3584208098819883,2.733764860045041,MSI-H
