gene,importance,0,1,2,highest_in,lowest_in
REG4,0.00306821531324641,7.313352386446207,10.288118569947109,7.311343070600511,1,2
GFI1,0.0030298851330832323,4.324782105248396,5.746534605835161,4.387915643195813,1,0
PPP1R14D,0.0029727171804601795,7.081369428466204,5.569264615594636,7.141813614086536,2,1
CTTNBP2,0.002929076583696976,5.991551126538811,3.822557243064593,5.743943324340587,0,1
TNNC2,0.0028787129463976736,5.847806060005891,3.0641648195316735,6.055696369496538,2,1
NPFFR1,0.002812663964948265,4.871074757855025,3.2582169011364965,4.57332747073741,0,1
EPM2AIP1,0.0027836493622675528,6.535693921168092,5.201372581471794,6.614782053003343,2,1
F7,0.0027751189711007107,3.445397191783944,1.3609984375405768,3.497850889258351,2,1
ASCL2,0.0027496093595437247,8.183577784839958,6.047577173264724,7.9913083982642314,0,1
LOC101928881,0.0027411120609330294,5.202327877795052,3.8947396797400287,5.287945556738502,2,1
TFAP2A,0.0027203438443847675,4.493072036510198,6.207844705206759,4.721465487731178,1,0
R3HDML,0.0027155731538786383,3.9601012335621415,1.9918702562983526,3.969305305025999,2,1
LRRC36,0.0026919501039304843,4.63719807557613,3.11132092017098,4.581826253341214,0,1
AGR2,0.002690743036364757,9.737982746227342,11.15097932562857,9.995463612521693,1,0
CADPS,0.0026225729654315156,6.415050373436122,4.664012364859027,6.284086596404549,0,1
RUBCNL,0.0025914932418543164,7.970790029085175,5.740573865070375,7.741192043525665,0,1
ISM2,0.0024728739295750515,3.512229949402786,1.3742303293051328,3.390101186268312,0,1
UMODL1,0.002462015032973991,3.369806240853772,1.8865719676593282,3.415955627404053,2,1
GABRE,0.0024566488121077327,6.932967085514974,5.604701526427587,7.070325272907319,2,1
TH,0.002337492690890714,3.4681228646682216,1.544067991074431,3.457573322031014,0,1
LINC02441,0.002322285483078209,3.8416770494974273,1.6912023691052982,3.6315416691486258,0,1
ADGRG6,0.0022330842112983796,6.1599156646568005,7.351756180097357,6.3708046695801155,1,0
LOC101926964,0.002219644365036676,2.96350569795539,1.1957894983637236,2.7678378772468357,0,1
AXIN2,0.002203894101953361,8.595684127790385,6.940299036565888,8.469596393928704,0,1
PRDM8,0.0021805551236795946,4.054478315264159,5.2381738652267105,4.138409668523052,1,0
LINC01811,0.002178638005790622,2.5920992851934814,1.019529973203231,2.6928103824511083,2,1
HUNK,0.002157465062257652,7.036180259969933,4.983661016123793,6.825293342721809,0,1
OR7E91P,0.0021568259344844844,1.3776117445659397,0.8515098858125353,1.7344370176908261,2,1
TUSC8,0.0021517251608204743,4.599613852417128,2.3633778389163735,4.574998817218508,0,1
LY6G6F-LY6G6D,0.002116056310895427,4.999234720771578,0.9514797966442009,4.760167065235191,0,1
VNN1,0.0021091166767250834,4.555014763827476,6.3110851086331605,4.873319775117248,1,0
VSTM5,0.0020908917618224277,3.7027633466507623,5.007932213750149,4.094160668146203,1,0
RASSF10,0.0020890787572538385,5.246867521612343,3.364838364362581,5.300991199686804,2,1
PKLR,0.00207539086784174,3.8016358393417,1.6266470903893213,3.328074968095535,0,1
REN,0.002069748859674153,3.312684231524428,1.7799845947774842,3.4314446927758597,2,1
CACNG4,0.0020457767170512153,3.9728530198374856,1.5229067335556572,4.110937010203221,2,1
TINAG,0.0020454560113161353,5.311700136583057,3.2277939369320534,5.33634643383396,2,1
GZMA,0.0020386104194087514,4.6008812056651465,5.809157844545633,4.7406196834984105,1,0
GPR143,0.0020291482456095307,5.375096327145263,3.1927875441712223,4.96419607684173,0,1
SPACA3,0.0020218347222897303,2.8588436549704612,1.0371146432391594,2.4166189398084392,0,1
